Support Journey,DSAT Level,Comments,id,primary_topic,subtopic,issue_type,intent,sentiment,emotion,driver_type,root_cause,failure_stage,impact_severity,customer_effort,experience_impact,confidence_score,Action_Owner
Playback Issues,1,YouTube Communist Party Korea,6952,"Policy, Trust & Safety",Trust & Safety,Other,Feedback,Negative,Other,Policy,User dissatisfaction with platform content or moderation,Unknown,Low,Low,Unknown,0.6,Policy & Brand
Playback Issues,1,I didn't write this post to get a canned response.,6953,Customer Support Experience,Support Experience Feedback,Miscommunication,Complaint,Negative,Frustration,People,Ineffective use of automated or canned responses,Support Interaction,Medium,High,Inconvenience,0.9,Support & QA
Playback Issues,1,Things I've already tried,6955,Technical & Playback Issues,Bugs & Technical Errors,UX Issue,Complaint,Negative,Frustration,Process,Repetitive troubleshooting requirements,Support Interaction,Medium,High,Inconvenience,0.85,Sales & Product
Question about package/plan and how to purchase,1,This is not a satisfactory answer. I would like a way to speak with the person in charge.,6956,Customer Support Experience,Support Processes & Friction,Miscommunication,Complaint,Negative,Disappointment,People,Inadequate resolution by initial agent,Resolution,Medium,Medium,Inconvenience,0.9,Support & QA
Non-SUJ identified issues,1,"If you're going to keep being stubborn and screw over the customers, just don't run a customer service center.",6958,Customer Support Experience,Support Experience Feedback,Other,Complaint,Negative,Anger,Policy,Perceived lack of empathy and rigid service culture,Support Interaction,High,Unknown,Trust Loss,0.8,Support & QA
Non-SUJ identified issues,4,The issue I inquired about has not been improved at all.,6961,Customer Support Experience,Support Experience Feedback,System Failure,Complaint,Negative,Disappointment,Technical,Lack of progress or improvement on a reported technical issue,Resolution,Medium,Medium,Inconvenience,0.9,Support & QA
User sees Ads,3,<<GSP_REDACTED>>,6963,Advertising & Promotions,Ad Experience,Unknown,Unknown,Neutral,Unknown,Unknown,Content redacted,Unknown,Low,Unknown,Unknown,0.5,Sales & Product
Non-SUJ identified issues,1,It was,6967,General Feedback & Brand,General Feedback,Other,Feedback,Neutral,Other,Unknown,Incomplete customer comment provided,Unknown,Low,Low,Unknown,0.5,Policy & Brand
Non-SUJ identified issues,1,The problem was not resolved.,6969,Customer Support Experience,Support Experience Feedback,Other,Complaint,Negative,Frustration,Unknown,The support interaction failed to provide a solution to the customer's problem,Resolution,Medium,High,Inconvenience,0.85,Support & QA
Playback Issues,1,Please fix the technical issue I mentioned as soon as possible. It does not seem like a problem that can be resolved by me taking the necessary steps.,6971,Technical & Playback Issues,Playback & Streaming,Bug,Complaint,Negative,Frustration,Technical,Unresolved technical software defect requiring backend fix.,Resolution,Medium,Medium,Inconvenience,0.9,Sales & Product
Non-SUJ identified issues,1,"They say they don't want to see the stickers, so I'm not sure if telling them to block shorts is the right answer.",6973,Product Features & Content,General Feedback,UX Issue,Feedback,Negative,Confusion,Product,Lack of granular control over UI elements (stickers) and irrelevant support suggestions.,Product Design,Low,Medium,Inconvenience,0.85,Policy & Brand
Non-SUJ identified issues,1,Nothing was resolved.,6979,Customer Support Experience,App Features & Navigation,Other,Complaint,Negative,Disappointment,Unknown,Failure to address or resolve the customer's underlying issue.,Resolution,Medium,Medium,Inconvenience,0.85,Support & QA
Question or issue with core / main features,1,Unresolved,6981,Product Features & Content,Bugs & Technical Errors,System Failure,Complaint,Negative,Disappointment,Technical,Failure to address or fix reported issues with main product features,Resolution,High,High,Inconvenience,0.85,Policy & Brand
Non-SUJ identified issues,1,"I couldn't remember the payment UIP, so I asked where the refund would be processed, but...",6982,Cancellations & Refunds,Refunds & Adjustments,Process,Query,Negative,Confusion,Process,Lack of clarity regarding refund destination when payment method is forgotten,Information Retrieval,Medium,Medium,Inconvenience,0.9,Support & QA
Question or issue with seasonal recap,1,The problem has not been resolved.,6984,Product Features & Content,Bugs & Technical Errors,Bug,Complaint,Negative,Disappointment,Technical,Persistent technical failure in the seasonal recap feature that remains unaddressed,Resolution,Medium,Medium,Inconvenience,0.85,Policy & Brand
I want to learn about a Premium feature,1,"I've tried everything, but nothing has been resolved...",6987,Customer Support Experience,Support Processes & Friction,System Failure,Complaint,Negative,Disappointment,Technical,Persistent technical issue despite troubleshooting attempts,Resolution,High,High,Inconvenience,0.88,Support & QA
Question or issue with core / main features,1,The problem is not being resolved at all,6988,Customer Support Experience,Support Processes & Friction,System Failure,Complaint,Negative,Frustration,Technical,Failure to resolve core product functionality issues,Resolution,High,High,Inconvenience,0.9,Support & QA
User wants to cancel and receive a refund (including due to free trial converting to paid),2,refund,6989,Cancellations & Refunds,Refunds & Adjustments,Other,Query,Neutral,Other,Policy,User initiated refund request,Initiation,Medium,Medium,Financial Impact,0.85,Support & QA
Question or issue with core / main features,1,Nothing is resolved.,6990,Customer Support Experience,Support Experience Feedback,Other,Complaint,Negative,Frustration,Process,Failure to resolve the customer's initial inquiry,Resolution,High,High,Inconvenience,0.85,Support & QA
Non-SUJ identified issues,1,Providing a different answer to the request,6992,Customer Support Experience,Support Experience Feedback,Miscommunication,Complaint,Negative,Frustration,People,Agent provided irrelevant or incorrect information relative to the request,Response,Medium,Medium,Inconvenience,0.9,Support & QA
Non-SUJ identified issues,2,"There are no issues with the customer support team. However, it is very unfortunate that YouTube is unable to verify the connection to YouTube Premium via SKT Membership.",6994,Subscriptions & Memberships,Plan Management (Individual),System Failure,Complaint,Negative,Disappointment,Technical,Technical failure in verifying YouTube Premium status through SKT Membership integration,Verification,Medium,Medium,Financial Impact,0.9,Sales & Product
Non-SUJ identified issues,1,"In the end, nothing gets resolved.... It really doesn't make sense to say that it's due to the system, so it's quite disappointing.",6996,Customer Support Experience,Support Processes & Friction,System Failure,Complaint,Negative,Disappointment,Technical,System constraints preventing effective problem resolution or poor communication regarding technical limitations,Resolution,High,High,Inconvenience,0.9,Support & QA
User wants to cancel and receive a refund (including due to free trial converting to paid),1,"Even if you do everything I mentioned, it still won't work.",6997,Cancellations & Refunds,Support Processes & Friction,Bug,Complaint,Negative,Frustration,Technical,Functional failure in the cancellation or refund workflow despite following instructions,Execution,High,High,Inconvenience,0.85,Support & QA
Non-SUJ identified issues,5,"I am satisfied, but... it hasn't been resolved yet...",7008,Customer Support Experience,Support Experience Feedback,Delay,Feedback,Neutral,Satisfaction,Process,Positive interaction experience despite the issue still being in progress,Resolution,Low,Medium,Delay,0.88,Support & QA
Playback Issues,2,The problem was not resolved.,7009,Technical & Playback Issues,Bugs & Technical Errors,System Failure,Complaint,Negative,Disappointment,Technical,Technical issue remains unresolved after support contact,Resolution,Medium,High,Inconvenience,0.9,Sales & Product
Non-SUJ identified issues,1,"I urgently inquired about the channel deletion, but receiving only two emails cannot be called service.",7011,Account Management & Security,Privacy & Data,Delay,Complaint,Negative,Anger,People,Inadequate support responsiveness and communication frequency for urgent issues,Support Interaction,High,High,Inconvenience,0.9,Policy & Brand
Non-SUJ identified issues,1,"So, are you telling me to select YouTubers who don't use stickers? Please make it possible to select YouTubers who don't use stickers separately.",7012,Product Features & Content,App Features & Navigation,UX Issue,Suggestion,Negative,Frustration,Product,Lack of granular filtering options for specific creator features,Product Usage,Medium,Medium,Inconvenience,0.85,Policy & Brand
Playback Issues,1,This is the first lesson. Keep the good things to yourself.,7013,Technical & Playback Issues,Bugs & Technical Errors,Other,Feedback,Negative,Disappointment,Unknown,Vague dissatisfaction with product changes or features,Product Usage,Low,Unknown,Other,0.6,Sales & Product
Non-SUJ identified issues,1,This is not what I wanted.,7014,General Feedback & Brand,General Feedback,Other,Complaint,Negative,Disappointment,Unknown,Product or service outcome did not align with user intent,Unknown,Medium,Unknown,Inconvenience,0.7,Policy & Brand
Playback Issues,4,"I was listening to music just like usual when this suddenly happened. If I knew the reason, I could be careful, but there is no explanation.",7017,Technical & Playback Issues,Bugs & Technical Errors,Bug,Query,Neutral,Confusion,Technical,Sudden system failure without descriptive error logging or user feedback,Usage,Medium,Medium,Inconvenience,0.88,Sales & Product
Non-SUJ identified issues,5,I think it will be difficult to understand the explanation if you lack knowledge of the terminology.,7018,Customer Support Experience,Support Processes & Friction,Miscommunication,Feedback,Neutral,Other,People,Support documentation or agent explanation uses overly complex terminology,Support Interaction,Low,Medium,Inconvenience,0.9,Support & QA
Non-SUJ identified issues,1,vegetative,7021,General Feedback & Brand,General Feedback,Other,Feedback,Neutral,Other,Unknown,Vague or nonsensical input,Unknown,Low,Low,Unknown,0.5,Policy & Brand
Issue with subtitles or closed captions,1,"There is no explanation regarding the unavailability of subtitles for the movie *The Sixth Sense*, and if such an explanation is unavailable, I believe it is only proper not to include movies requiring subtitles in the purchase options in the first place. It is an ironic situation where movies with subtitles are priced at 6,000 won or less, while those without are priced at 6,000 won or more. Of course, this is a matter of consumer choice and not an issue in itself, but for the sake of improvement, the first step should be to make the presence or absence of subtitles more clearly visible. Secondly, I believe it is desirable to price movies without subtitles. I hope that if subtitles become available in the future, consumers will be notified of their right to make a decision based on their choice, so that we can expect better quality from YouTube movies.",7022,Product Features & Content,Playback & Streaming,UX Issue,Complaint,Negative,Disappointment,Product,Lack of transparency regarding subtitle availability and inconsistent pricing for non-subtitled content,Pre-purchase,Medium,Medium,Inconvenience,0.9,Policy & Brand
Promotions/EFT question or issue,1,Unable to provide an accurate answer,7025,Advertising & Promotions,Ad Experience,Miscommunication,Complaint,Negative,Frustration,People,Agent unable to provide accurate information regarding promotions or EFT,Support Interaction,Medium,Medium,Inconvenience,0.9,Sales & Product
Non-SUJ identified issues,1,No solution,7028,Customer Support Experience,Support Experience Feedback,Other,Complaint,Negative,Frustration,Process,Failure to provide any solution to the customer's problem,Support Interaction,Medium,Medium,Inconvenience,0.85,Support & QA
Playback Issues,2,I will wait for a response to my second inquiry. It is definitely a file issue.,7030,Technical & Playback Issues,App Performance & Crashing,Bug,Feedback,Negative,Disappointment,Technical,Technical defect in specific file processing,Product Performance,Medium,Medium,Inconvenience,0.9,Sales & Product
I want to cancel subscription,1,"There were clear limitations to conducting the process via chat, and difficulties arose in communicating and sharing issues. The support team I chatted with made an effort, but resolving the problem was not easy. I question whether we should stick to this method.",7033,Subscriptions & Memberships,Plan Management (Individual),UX Issue,Suggestion,Negative,Frustration,Process,Inadequate support channel capabilities for complex tasks,Support Interaction,High,High,Inconvenience,0.9,Sales & Product
User sees Ads,1,"I don't understand the logic of saying that nothing is resolved in the end and that things are going to change this way, so you guys just need to understand.",7036,Customer Support Experience,Support Processes & Friction,Miscommunication,Complaint,Negative,Confusion,Policy,Inflexible policy enforcement without clear justification to the user,Resolution,Medium,Medium,Inconvenience,0.85,Support & QA
Non-SUJ identified issues,2,"You kept asking about my location, and even though I told you I hadn't installed a VPN, you kept asking again. Why do you keep asking when I say it's not me? Did your internal tool show that? I don't understand. Also, it seemed like handling the chat took a long time because you kept asking this question repeatedly. Seeing as your conclusion was to just wait because you set it up a moment ago... I don't know why you went to such lengths.",7038,Customer Support Experience,Support Experience Feedback,UX Issue,Complaint,Negative,Frustration,People,Repetitive and scripted troubleshooting steps that ignore customer input,Interaction,Medium,High,Inconvenience,0.9,Support & QA
I have a question or complaint about pricing,1,Answering a question with an irrelevant answer,7041,Customer Support Experience,Support Experience Feedback,Miscommunication,Complaint,Negative,Frustration,People,Agent failed to provide a relevant answer to the customer's specific query,Resolution,High,Medium,Inconvenience,0.9,Support & QA
Out of scope,1,So there is no explanation regarding the conclusion as to whether it can be provided in the future or is completely impossible.,7042,Customer Support Experience,Support Processes & Friction,Miscommunication,Complaint,Negative,Disappointment,Process,Inadequate explanation regarding the feasibility or future availability of a requested service,Resolution,Medium,Medium,Trust Loss,0.85,Support & QA
Non-SUJ identified issues,1,"That wasn't the solution. Instead of clicking on the shorts, I had to click on a regular video, go into the subtitle settings, and turn off subtitles when muted. That option wasn't there when I inquired, but I see it has appeared now. I'm not sure if it appeared after an update or what, but the method you sent would not have resolved the issue.",7044,Technical & Playback Issues,Bugs & Technical Errors,Miscommunication,Feedback,Negative,Confusion,Technical,Support provided incorrect or outdated troubleshooting steps that did not resolve the user's issue,Troubleshooting,Medium,High,Inconvenience,0.9,Sales & Product
Non-SUJ identified issues,1,It didn't change;;;;;,7046,Technical & Playback Issues,Bugs & Technical Errors,Bug,Complaint,Negative,Frustration,Technical,Previous fix attempt was unsuccessful,Resolution,Medium,Medium,Inconvenience,0.85,Sales & Product
Non-SUJ identified issues,2,Please re-upload the background for the members-only section as well.,7048,Product Features & Content,Content Availability,UX Issue,Suggestion,Neutral,Other,Product,Incomplete upload of assets for specific membership sections,Product Delivery,Low,Low,Inconvenience,0.9,Policy & Brand
Non-SUJ identified issues,1,"You said you deposited 65,000 won to Go Chung-ho under the name Kim Tae-young?",7052,"Billing, Payments & Sales",Billing & Payment Issues,Other,Query,Neutral,Confusion,Unknown,Verification of specific transaction details,Support Interaction,Medium,Low,Unknown,0.85,Sales & Product
User wants to cancel and receive a refund (including due to free trial converting to paid),2,"I don't think it's a bit inappropriate to ask ""Are you still here?"" as soon as you get connected.",7053,Customer Support Experience,Support Experience Feedback,Miscommunication,Complaint,Negative,Frustration,People,Inappropriate or impatient greeting by the support representative,Initial Contact,Medium,Low,Trust Loss,0.9,Support & QA
Playback Issues,3,"If it were a real person, it felt quite impolite. But since it is an AI, I just let it slide. I was dissatisfied because it didn't immediately provide a proper solution to the problem I needed to solve. However, it eventually resolved the issue, so it is fine.",7054,Customer Support Experience,Support Experience Feedback,UX Issue,Feedback,Neutral,Satisfaction,Technical,AI bot tone and delay in providing the correct solution despite eventual resolution,Troubleshooting,Low,Medium,Delay,0.88,Support & QA
User wants to cancel and receive a refund (including due to free trial converting to paid),1,Please help Korea decide on the Korean guide.,7061,Product Features & Content,Bugs & Technical Errors,Miscommunication,Query,Neutral,Confusion,Policy,Lack of localized guidance or documentation for the Korean market,Support/Documentation,Low,Medium,Inconvenience,0.8,Policy & Brand
Non-SUJ identified issues,1,"Even with YouTube Premium, ad pop-ups can appear if a creator places ads. Block that account—this was not an answer at all. If they are operating like this, why pay so much money to use Premium?",7062,Subscriptions & Memberships,Premium Benefits & Access,Policy,Complaint,Negative,Anger,Policy,Misalignment between Premium marketing and creator-embedded advertisements,Service Delivery,High,Low,Trust Loss,0.9,Sales & Product
Playback Issues,5,The problem was not resolved exactly.,7063,Technical & Playback Issues,Playback & Streaming,System Failure,Complaint,Negative,Disappointment,Technical,Failure to resolve the underlying technical playback issue,Support Resolution,Medium,High,Delay,0.85,Sales & Product
I want to cancel subscription,3,<<GSP_REDACTED>>,7065,Subscriptions & Memberships,Plan Management (Individual),Other,Query,Neutral,Unknown,Unknown,Unknown,Unknown,Low,Unknown,Unknown,0.5,Sales & Product
Question or issue with core / main features,2,The scope of the customer center's consultation is too narrow. I don't understand why the membership department is handling YouTube system-related issues.,7066,Customer Support Experience,Support Processes & Friction,Miscommunication,Complaint,Negative,Confusion,Process,Misalignment between support department expertise and technical issue categories,Support Interaction,Medium,Medium,Inconvenience,0.9,Support & QA
Playback Issues,1,You guys are completely useless pieces of shit.,7068,Technical & Playback Issues,Bugs & Technical Errors,System Failure,Complaint,Negative,Anger,Technical,Unresolved technical playback failure leading to total loss of service utility,Support Interaction,High,High,Trust Loss,0.85,Sales & Product
Question or issue with core / main features,1,"It's inconvenient because not many YouTube videos are showing up; only the ones I'm subscribed to and have a lot of likes are appearing. Even news articles showed up yesterday, but today nothing is showing and only 19 are there.",7069,Product Features & Content,App Features & Navigation,Bug,Complaint,Negative,Disappointment,Product,Algorithm or filtering logic error restricting content visibility in the feed,Product Usage,High,Low,Inconvenience,0.9,Policy & Brand
I want to learn about a Premium feature,1,Not responding to inquiries,7074,Customer Support Experience,Support Experience Feedback,Delay,Complaint,Negative,Frustration,Process,Complete failure to respond to customer inquiries,Initial Contact,High,High,Delay,0.9,Support & QA
Non-SUJ identified issues,1,"I mean, since I am the account owner, I don't understand why they keep telling the account owner what to do.",7077,Account Management & Security,Account Access & Recovery,UX Issue,Complaint,Negative,Confusion,Policy,Redundant or condescending instruction flow for verified account owners,Support Interaction,Medium,Medium,Inconvenience,0.88,Policy & Brand
User wants to cancel and receive a refund (including due to free trial converting to paid),1,I wish there was a feature to investigate channel deletions so that no one would feel unfairly treated.,7079,Account Management & Security,Privacy & Data,UX Issue,Suggestion,Neutral,Disappointment,Product,Lack of self-service or transparent tools to investigate channel status/deletions,Product Feature,Medium,Low,Trust Loss,0.9,Policy & Brand
Non-SUJ identified issues,2,"I tried all the solutions suggested to solve the problem, but they were ineffective.",7083,Technical & Playback Issues,Bugs & Technical Errors,Other,Complaint,Negative,Disappointment,Process,Standard troubleshooting protocols failed to address the specific issue,Resolution,Medium,High,Inconvenience,0.9,Sales & Product
Question or issue with core / main features,1,"In the end, nothing was resolved.",7084,Customer Support Experience,Support Experience Feedback,Other,Complaint,Negative,Frustration,Unknown,Failure to reach a successful resolution during the support journey,Resolution,Medium,Unknown,Inconvenience,0.85,Support & QA
Non-SUJ identified issues,1,"It's already been 48 hours since everything was done, but you're just repeating the same thing.",7088,Customer Support Experience,Support Experience Feedback,Delay,Complaint,Negative,Frustration,People,Repetitive and unhelpful support scripts leading to resolution delays,Resolution,Medium,High,Delay,0.9,Support & QA
Question or issue with core / main features,1,"I have tried every method, and it keeps repeating the cycle of fixing it only to revert back. Nothing has changed.",7089,Technical & Playback Issues,Bugs & Technical Errors,Bug,Complaint,Negative,Disappointment,Technical,Persistent technical defect where fixes do not stick and revert to a broken state,Technical Performance,High,High,Inconvenience,0.9,Sales & Product
Question or issue with shorts,4,<<GSP_REDACTED>>,7090,Product Features & Content,App Features & Navigation,Other,Query,Neutral,Satisfaction,Unknown,Unknown,Unknown,Low,Unknown,Unknown,0.5,Policy & Brand
Non-SUJ identified issues,1,Very slow,7093,Technical & Playback Issues,App Performance & Crashing,UX Issue,Complaint,Negative,Frustration,Technical,Slow system response time,Service Delivery,Medium,High,Delay,0.9,Sales & Product
Non-SUJ identified issues,1,I am dissatisfied with YouTube. There are just too many things that don't work.,7097,Product Features & Content,General Feedback,System Failure,Complaint,Negative,Disappointment,Product,Perceived lack of reliability across multiple platform features,Usage,High,Unknown,Inconvenience,0.9,Policy & Brand
Non-SUJ identified issues,1,discrimination against Korea,7101,General Feedback & Brand,General Feedback,Other,Complaint,Negative,Anger,Policy,Perceived discriminatory treatment or exclusion based on geographic location,Service Delivery,Critical,Low,Trust Loss,0.85,Policy & Brand
Playback Issues,1,Received no help at all,7102,Technical & Playback Issues,Playback & Streaming,Other,Complaint,Negative,Frustration,People,Support team failed to provide any actionable assistance or guidance,Support Interaction,High,High,Inconvenience,0.9,Sales & Product
Playback Issues,1,It hasn't been resolved at all.,7103,Technical & Playback Issues,Playback & Streaming,Bug,Complaint,Negative,Frustration,Technical,Persistent technical failure that remains unresolved after support contact,Resolution,High,High,Inconvenience,0.9,Sales & Product
I want to ask about family plan abuse,1,"I've tried everything and nothing worked, so I'm leaving an inquiry here. Please help me fix this.",7105,Subscriptions & Memberships,Plan Management (Family/Student),Other,Complaint,Negative,Frustration,Technical,Ineffective self-service troubleshooting steps for family plan issues,Support Resolution,Medium,High,Inconvenience,0.9,Sales & Product
Non-SUJ identified issues,3,YouTube has no sound.,7107,Product Features & Content,Playback & Streaming,Bug,Complaint,Negative,Frustration,Technical,Technical software defect causing loss of audio output,Product Usage,Medium,Low,Inconvenience,0.85,Policy & Brand
User sees Ads,1,"I mean, even looking at my family members, they don't get this when using Premium, so is it normal for me to be the only one getting it?",7109,Subscriptions & Memberships,Premium Benefits & Access,System Failure,Query,Negative,Confusion,Technical,Entitlement synchronization failure where a Premium user is still served advertisements,Product Usage,Medium,Medium,Financial Impact,0.88,Sales & Product
Question about package/plan and how to purchase,1,"I believe the Philippine payment terms of 189 pesos per month are fair, but it seems your company does not acknowledge that.",7111,"Billing, Payments & Sales",Plan Management (Individual),Other,Complaint,Negative,Disappointment,Policy,Disagreement with regional payment terms or pricing recognition.,Purchase/Billing,Medium,Low,Financial Impact,0.85,Sales & Product
Non-SUJ identified issues,1,"I even took screenshots and sent them, but they are talking nonsense and giving ridiculous explanations.",7112,Customer Support Experience,Support Experience Feedback,Miscommunication,Complaint,Negative,Frustration,People,Agent failed to provide a logical explanation despite customer providing visual evidence.,Support Interaction,Medium,High,Inconvenience,0.9,Support & QA
Non-SUJ identified issues,1,Did you read my question?,7113,Customer Support Experience,Support Experience Feedback,Miscommunication,Complaint,Negative,Frustration,People,Agent failed to read or understand the customer's specific query.,Support Interaction,Medium,Medium,Inconvenience,0.9,Support & QA
Non-SUJ identified issues,2,"I report porn sites, but it seems like more promotional accounts are being created than the number of reports.",7116,"Policy, Trust & Safety",Trust & Safety,System Failure,Feedback,Negative,Frustration,Technical,Ineffective automated moderation tools failing to keep pace with spam account creation.,Product/Service Delivery,Medium,Medium,Inconvenience,0.9,Policy & Brand
User wants to cancel and receive a refund (including due to free trial converting to paid),1,Worst,7117,Cancellations & Refunds,Refunds & Adjustments,Other,Complaint,Negative,Disappointment,Unknown,Unknown,Unknown,Medium,Unknown,Other,0.6,Support & QA
Non-SUJ identified issues,1,"Seriously, if it's going to be like this, why even bother with a premium subscription?",7118,Subscriptions & Memberships,Plan Management (Family/Student),UX Issue,Complaint,Negative,Frustration,Product,General service dissatisfaction leading to questioning the value of the premium subscription.,Product/Service Delivery,Medium,Low,Trust Loss,0.8,Sales & Product
User sees Ads,1,I do not understand the point I inquired about,7122,Customer Support Experience,Support Processes & Friction,Miscommunication,Complaint,Negative,Confusion,People,Agent failed to provide a clear or understandable explanation to the user's inquiry,Communication,Medium,Medium,Inconvenience,0.9,Support & QA
I want to ask about family plan abuse,5,I couldn't tell if it was a real person or an AI. This was because it sent the same message repeatedly.,7126,Customer Support Experience,App Features & Navigation,UX Issue,Feedback,Neutral,Confusion,Technical,Repetitive automated messaging created ambiguity regarding agent identity,Interaction,Low,Medium,Inconvenience,0.9,Support & QA
Question or issue with core / main features,1,I was unable to solve the problem.,7130,Product Features & Content,Bugs & Technical Errors,Other,Complaint,Negative,Frustration,Unknown,Unsuccessful troubleshooting or resolution path,Resolution,Medium,High,Inconvenience,0.75,Policy & Brand
User sees Ads,1,"The uploader is entitled to display ads. However, for those using the Premium plan, those stickers should be hidden. I am stating that I want to receive benefits commensurate with the cost. Viewing the ad reels themselves is not a problem, but I am conveying my opinion that I would prefer the stickers not to be visible within the videos.",7132,Advertising & Promotions,Ad Experience,UX Issue,Feedback,Negative,Disappointment,Product,Product design allows specific ad stickers to persist for premium users,Product Design,Medium,Low,Inconvenience,0.9,Sales & Product
Question or issue with core / main features,1,"If it were resolved with such a basic issue, I wouldn't be asking lol. You guys should fix it, why should I?",7133,Customer Support Experience,Support Experience Feedback,Miscommunication,Complaint,Negative,Anger,People,Support provided generic or basic solutions for a complex user issue,Support Interaction,Medium,High,Inconvenience,0.85,Support & QA
User wants to cancel and receive a refund (including due to free trial converting to paid),1,"The consultation was forcibly terminated without even looking into a solution, and the issue was not resolved.",7134,Customer Support Experience,Support Processes & Friction,System Failure,Complaint,Negative,Frustration,Process,Premature closure of support interaction without resolution,Support Interaction,High,High,Trust Loss,0.9,Support & QA
I want to ask about family plan abuse,1,It’s really a terrible service that I can’t use the plan because of overseas travel.,7137,Subscriptions & Memberships,Plan Management (Individual),Other,Complaint,Negative,Disappointment,Policy,Plan limitations regarding geographic usage or overseas travel,Product Usage,Medium,Medium,Inconvenience,0.88,Sales & Product
Playback Issues,1,"I tried everything I could before submitting the inquiry, so what are you talking about?",7138,Technical & Playback Issues,Bugs & Technical Errors,UX Issue,Complaint,Negative,Frustration,Process,Agent providing redundant troubleshooting steps already completed by the customer,Support Interaction,Medium,High,Inconvenience,0.9,Sales & Product
I want to know the status of my transaction,2,"a little,,",7139,"Billing, Payments & Sales",Support Processes & Friction,Other,Query,Neutral,Other,Unknown,Insufficient feedback provided by customer,Unknown,Low,Unknown,Unknown,0.5,Sales & Product
I want to know the status of my transaction,1,"The payment system is so messed up, I want to smash it all.",7141,"Billing, Payments & Sales",Billing & Payment Issues,System Failure,Complaint,Negative,Anger,Technical,Unstable or malfunctioning payment processing system,Transaction Processing,High,High,Inconvenience,0.9,Sales & Product
Request to delete purchase history,3,<<GSP_REDACTED>>,7143,Account Management & Security,Privacy & Data,Unknown,Query,Neutral,Unknown,Unknown,Unknown,Unknown,Low,Unknown,Unknown,0.5,Policy & Brand
Non-SUJ identified issues,1,Please review the inquiry carefully.,7147,Customer Support Experience,App Features & Navigation,Miscommunication,Feedback,Negative,Disappointment,People,Inadequate review of the customer's specific inquiry details,Support Interaction,Low,Medium,Inconvenience,0.88,Support & QA
Promotions/EFT question or issue,5,<<GSP_REDACTED>>,7148,Advertising & Promotions,Ad Experience,Other,Feedback,Positive,Satisfaction,Unknown,Unknown,Unknown,Low,Low,Unknown,0.5,Sales & Product
Non-SUJ identified issues,1,Excessively stiff response. Insincere comments.,7149,Customer Support Experience,Support Experience Feedback,Miscommunication,Complaint,Negative,Disappointment,People,Unprofessional or overly formal communication style perceived as insincere,Support Interaction,Medium,Low,Trust Loss,0.9,Support & QA
Question or issue with core / main features,1,Nothing resolved,7152,Customer Support Experience,Support Processes & Friction,System Failure,Complaint,Negative,Disappointment,Process,Failure to provide a definitive resolution to the customer's core issue,Resolution,High,High,Inconvenience,0.88,Support & QA
Question or issue with shorts,2,"It's a shame it wasn't fixed properly, and it's very inconvenient.",7153,Product Features & Content,App Features & Navigation,Bug,Complaint,Negative,Frustration,Technical,Ineffective technical fix for a reported feature issue,Resolution,Medium,High,Inconvenience,0.9,Policy & Brand
User wants to cancel and receive a refund (including due to free trial converting to paid),3,Why won't you refund the unused amount from the previous two months?,7158,Cancellations & Refunds,Refunds & Adjustments,Policy,Query,Negative,Confusion,Policy,Strict refund policies regarding unused subscription periods or retroactive cancellations.,Billing,Medium,Medium,Financial Impact,0.88,Support & QA
Non-SUJ identified issues,1,It's not helpful at all.,7161,Customer Support Experience,Support Experience Feedback,Other,Complaint,Negative,Frustration,People,Ineffective support resolution,Resolution,Medium,High,Inconvenience,0.85,Support & QA
Playback Issues,1,"I tried all of that but it didn't work, and it looks like I just got IP banned. Please do something about it.",7162,Technical & Playback Issues,Playback & Streaming,System Failure,Complaint,Negative,Frustration,Technical,IP ban or technical restriction during troubleshooting,Troubleshooting,Critical,High,Inconvenience,0.9,Sales & Product
Playback Issues,2,"The supporter did their best to help. I solved it using Secret mode, one of the methods they suggested.",7163,Technical & Playback Issues,Playback & Streaming,UX Issue,Feedback,Positive,Satisfaction,Product,Browser compatibility resolved via incognito mode,N/A,Low,Medium,Inconvenience,0.9,Sales & Product
User sees Ads,2,"This is not an issue with the counselor, but rather regrettable that YouTube Korea failed to recognize the illegality of posting advertisements in violation of the terms of service. It is unfortunate that the problem appears to have been resolved only through a formal request for mediation.",7166,Advertising & Promotions,Ad Experience,System Failure,Feedback,Negative,Disappointment,Policy,Failure to detect and prevent illegal advertisements violating platform terms,Prevention,High,High,Trust Loss,0.9,Sales & Product
Device limit reset request,5,"Since so many people were asking questions, there were some stiff responses, and it was a bit disappointing to receive answers in broad terms rather than in detail regarding the specific issues I inquired about.",7167,Customer Support Experience,Support Processes & Friction,Miscommunication,Feedback,Negative,Disappointment,People,Lack of personalized and detailed responses to specific inquiries,Interaction,Medium,Medium,Inconvenience,0.85,Support & QA
I want to join or start a family plan,1,"I provided a response method, but the issue was not resolved. Also, if something was checked, the results should have been shared, but they were not.",7169,Customer Support Experience,Support Processes & Friction,Miscommunication,Complaint,Negative,Frustration,Process,Failure to communicate investigation results and lack of resolution follow-through,Resolution,Medium,Medium,Inconvenience,0.9,Support & QA
Non-SUJ identified issues,1,Don't update it.,7171,Product Features & Content,General Feedback,UX Issue,Feedback,Negative,Disappointment,Product,User dissatisfaction with recent software changes or updates,Post-Purchase,Low,Low,Inconvenience,0.85,Policy & Brand
